id_wojewodztwa,nazwa
1,W1
2,W2
3,W3
4,W4
5,W5
6,W6
7,W7
8,W8
9,W9
10,W10
11,W11
12,W12
13,W13
14,W14
15,W15
16,W16
17,W17
18,W18
19,W19
20,W20
21,W21
22,W22
23,W23
24,W24
25,W25
26,W26
27,W27
28,W28
29,W29
30,W30
31,W31
32,W32
33,W33
34,W34
35,W35
36,W36
37,W37
38,W38
39,W39
40,W40
41,W41
42,W42
43,W43
44,W44
45,W45
46,W46
47,W47
48,W48
49,W49
50,W50
51,W51
52,W52
53,W53
54,W54
55,W55
56,W56
57,W57
58,W58
59,W59
60,W60
61,W61
62,W62
63,W63
64,W64
65,W65
66,W66
67,W67
68,W68
69,W69
70,W70
71,W71
72,W72
73,W73
74,W74
75,W75
76,W76
77,W77
78,W78
79,W79
80,W80
81,W81
82,W82
83,W83
84,W84
85,W85
86,W86
87,W87
88,W88
89,W89
90,W90
91,W91
92,W92
93,W93
94,W94
95,W95
96,W96
97,W97
98,W98
99,W99
100,W100
