id_modelu,nazwa
1,M1
2,M2
3,M3
4,M4
5,M5
6,M6
7,M7
8,M8
9,M9
10,M10
11,M11
12,M12
13,M13
14,M14
15,M15
16,M16
17,M17
18,M18
19,M19
20,M20
21,M21
22,M22
23,M23
24,M24
25,M25
26,M26
27,M27
28,M28
29,M29
30,M30
31,M31
32,M32
33,M33
34,M34
35,M35
36,M36
37,M37
38,M38
39,M39
40,M40
41,M41
42,M42
43,M43
44,M44
45,M45
46,M46
47,M47
48,M48
49,M49
50,M50
51,M51
52,M52
53,M53
54,M54
55,M55
56,M56
57,M57
58,M58
59,M59
60,M60
61,M61
62,M62
63,M63
64,M64
65,M65
66,M66
67,M67
68,M68
69,M69
70,M70
71,M71
72,M72
73,M73
74,M74
75,M75
76,M76
77,M77
78,M78
79,M79
80,M80
81,M81
82,M82
83,M83
84,M84
85,M85
86,M86
87,M87
88,M88
89,M89
90,M90
91,M91
92,M92
93,M93
94,M94
95,M95
96,M96
97,M97
98,M98
99,M99
100,M100
101,M101
102,M102
103,M103
104,M104
105,M105
106,M106
107,M107
108,M108
109,M109
110,M110
111,M111
112,M112
113,M113
114,M114
115,M115
116,M116
117,M117
118,M118
119,M119
120,M120
121,M121
122,M122
123,M123
124,M124
125,M125
126,M126
127,M127
128,M128
129,M129
130,M130
131,M131
132,M132
133,M133
134,M134
135,M135
136,M136
137,M137
138,M138
139,M139
140,M140
141,M141
142,M142
143,M143
144,M144
145,M145
146,M146
147,M147
148,M148
149,M149
150,M150
151,M151
152,M152
153,M153
154,M154
155,M155
156,M156
157,M157
158,M158
159,M159
160,M160
161,M161
162,M162
163,M163
164,M164
165,M165
166,M166
167,M167
168,M168
169,M169
170,M170
171,M171
172,M172
173,M173
174,M174
175,M175
176,M176
177,M177
178,M178
179,M179
180,M180
181,M181
182,M182
183,M183
184,M184
185,M185
186,M186
187,M187
188,M188
189,M189
190,M190
191,M191
192,M192
193,M193
194,M194
195,M195
196,M196
197,M197
198,M198
199,M199
200,M200
